MEASURE,Unit,COUNTRY,Country,PRODUCT,Product,FLOW,Flow,TIME,Time,Value,Flag Codes,Flags
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2010,2010,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2011,2011,-43,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2011,2011,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,ONONSPEC,Final consumption not elsewhere specified,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,NONENUSE,Non-energy use,2012,2012,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,EXPORTS,Exports,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TES,Total energy supply,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANF,Transformation processes,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTENGY,Energy industry own use,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTIND,Industry,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,TOTTRANS,Transport,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,RESIDENT,Residential,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,COMMPUB,Commercial and public services,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,AGRICULT,Agriculture/forestry,2013,2013,0,,
TJ,TJ,EU28,Memo: European Union-28,BIOJETKERO,Bio jet kerosene,FISHING,Fishing,2013,2013,0,,
