,share,sector,year,,,,,,,,,,,,
380,0.000431853,transport,2050,,,,,,,,,,,,
381,0.000444002,transport,2050,,,,,,,,,,,,
382,0.000463508,transport,2050,,,,,,,,,,,,
383,0.010943294,transport,2050,,,,,,,,,,,,
384,0.01101623,transport,2050,,,,,,,,,,,,
385,0.0133374,transport,2050,,,,,,,,,,,,
386,0.012164217,transport,2050,,,,,,,,,,,,
387,0.012373649,transport,2050,,,,,,,,,,,,
388,0.012233275,transport,2050,,,,,,,,,,,,
389,0.030105423,transport,2050,,,,,,,,,,,,
390,0.030306072,transport,2050,,,,,,,,,,,,
391,0.0366917,transport,2050,,,,,,,,,,,,
392,0.033464228,transport,2050,,,,,,,,,,,,
393,0.034040385,transport,2050,,,,,,,,,,,,
394,0.033654208,transport,2050,,,,,,,,,,,,
395,0.015824224,transport,2050,,,,,,,,,,,,
396,0.01592969,transport,2050,,,,,,,,,,,,
397,0.019286149,transport,2050,,,,,,,,,,,,
398,0.017589702,transport,2050,,,,,,,,,,,,
399,0.017892546,transport,2050,,,,,,,,,,,,
400,0.017689561,transport,2050,,,,,,,,,,,,
401,0.010963992,transport,2050,,,,,,,,,,,,
402,0.011037065,transport,2050,,,,,,,,,,,,
403,0.013362626,transport,2050,,,,,,,,,,,,
404,0.012187224,transport,2050,,,,,,,,,,,,
405,0.012397052,transport,2050,,,,,,,,,,,,
406,0.012256412,transport,2050,,,,,,,,,,,,
407,0.000606918,transport,2050,,,,,,,,,,,,
408,0.000610963,transport,2050,,,,,,,,,,,,
409,0.000739695,transport,2050,,,,,,,,,,,,
410,0.00067463,transport,2050,,,,,,,,,,,,
411,0.000686245,transport,2050,,,,,,,,,,,,
412,0.00067846,transport,2050,,,,,,,,,,,,
413,0.011041677,transport,2050,,,,,,,,,,,,
414,0.011025303,transport,2050,,,,,,,,,,,,
415,0.013583211,transport,2050,,,,,,,,,,,,
416,0.012242552,transport,2050,,,,,,,,,,,,
417,0.012146607,transport,2050,,,,,,,,,,,,
418,0.011991926,transport,2050,,,,,,,,,,,,
419,0.028756645,transport,2050,,,,,,,,,,,,
420,0.028714002,transport,2050,,,,,,,,,,,,
421,0.035375749,transport,2050,,,,,,,,,,,,
422,0.031884172,transport,2050,,,,,,,,,,,,
423,0.031634295,transport,2050,,,,,,,,,,,,
424,0.031231449,transport,2050,,,,,,,,,,,,
425,0.016708984,transport,2050,,,,,,,,,,,,
426,0.016684206,transport,2050,,,,,,,,,,,,
427,0.020554999,transport,2050,,,,,,,,,,,,
428,0.018526226,transport,2050,,,,,,,,,,,,
429,0.018381036,transport,2050,,,,,,,,,,,,
430,0.018146963,transport,2050,,,,,,,,,,,,
431,0.011214498,transport,2050,,,,,,,,,,,,
432,0.011197869,transport,2050,,,,,,,,,,,,
